user_text,user_id,wikiproject,cos_sim,pos
Hector Bottai,19743885,birds,0.53488288734710132,7
Daniel Cavallari,9828986,birds,0.514750315366832,8
Tonton Bernardo,15264806,birds,0.513463376030531,9
M.E.Nuhn,19018864,birds,0.50425473640749974,10
FilipeBSilva,21156254,birds,0.48198964085838181,11
KMaher123,15353957,birds,0.47891340202364624,12
Burklemore1,21304876,birds,0.47500082882605238,13
BernardP,1940263,birds,0.4707060147251988,14
Stongey,19546468,birds,0.46992843615197216,15
Chermundy,11597152,birds,0.46893354533755621,16
Oculi,4460308,birds,0.46442493741464586,17
Elspooky,12116210,birds,0.46311778329272596,18
Faendalimas,1677683,birds,0.45958461897997377,19
Ariefrahman,17490980,birds,0.45823898452292022,20
Daamoy,23683077,cannabis,0.30105206366333964,1
Queenwe,16417705,cannabis,0.28664034463872612,2
Huddo14,21356829,cannabis,0.25724305368222283,3
Jonathankwanhc,17597386,cannabis,0.25126060882737439,4
Humanrights4nz,14800183,cannabis,0.24823015624202568,5
Tangotopaz,23965472,cannabis,0.24533315349339088,6
Imachrischan,24042586,cannabis,0.24440394787769321,7
Carolyn.monaco,12542822,cannabis,0.24440248179120586,8
LuLuDrops,21687715,cannabis,0.24396890403904162,9
Nblund,20887371,cannabis,0.2416077690855139,10
Bibliomachus,23633453,cannabis,0.24119533615082578,11
AlexMota300,23416893,cannabis,0.23753528016781481,12
JanPodany,21044648,cannabis,0.23385573935971182,13
Vegamala,21117047,cannabis,0.23166981386565957,14
Wilbur99,11697368,cannabis,0.22945210341743219,15
Chase1493,15188920,cannabis,0.2261336442823951,16
Catsmeow8989,25336974,cannabis,0.22578904774750475,17
Yorksa10,17479844,cannabis,0.2253266021812016,18
Krissjody,22094426,cannabis,0.223760453196655,19
Tab1975,23862930,cannabis,0.22034093836549781,20
Drangmeistername,23550229,college football,0.48823933919925361,1
Tomahawk1221,8082842,college football,0.37939994289574858,2
Gijimu,6483048,college football,0.36773860015049065,3
Meowmeow99,24064372,college football,0.36302020941159396,4
Bsuwogltfam,18277091,college football,0.35024013613045407,5
Ldairlds8,24993626,college football,0.34481663050328276,6
Meleemaster428,22626169,college football,0.34251603033067884,7
JohnRainbird,23114473,college football,0.3412580795069432,8
Grandtheftauto1988,18754037,college football,0.34018348933240788,9
XdeLaTorre,12368534,college football,0.33897076910687324,10
Thefro552,764596,college football,0.33638727835916071,11
Omallepj,25300101,college football,0.32549289279950239,12
The infamousx,22638021,college football,0.32331673584207082,13
Rymax23,25117796,college football,0.32084188916523887,14
Sparrowhawk8,12532488,college football,0.3191839246392999,15
Erik255,18210084,college football,0.3155761199955574,16
Maurithus,15491111,college football,0.31387940029221451,17
DawnBTVS,6049047,college football,0.31105850456022988,18
Gnusny,19574330,college football,0.30950466205153176,19
Frankm.russo,12673120,college football,0.30648035902053133,20
Daamoy,23683077,england,0.26363806230220993,1
Queenwe,16417705,england,0.25326253941196869,2
Huddo14,21356829,england,0.23910512126182296,3
Carolyn.monaco,12542822,england,0.23102460827552257,4
LuLuDrops,21687715,england,0.23002761275703443,5
Jonathankwanhc,17597386,england,0.22992703496198841,6
Tangotopaz,23965472,england,0.22568654239912225,7
Bibliomachus,23633453,england,0.22323178996509108,8
Humanrights4nz,14800183,england,0.22247355537633537,9
Nblund,20887371,england,0.22183489884714519,10
AlexMota300,23416893,england,0.22019015471545916,11
Imachrischan,24042586,england,0.2191532408076651,12
Wilbur99,11697368,england,0.21763095376170546,13
Vegamala,21117047,england,0.21680848728953059,14
Chase1493,15188920,england,0.21639245419057865,15
JanPodany,21044648,england,0.21551249309585402,16
Tab1975,23862930,england,0.2153009889317325,17
Jacky Chi Wo Kwong,23127411,england,0.20864939848932756,18
Olickal Peter Thomas,25082014,england,0.20753858914926412,19
Krissjody,22094426,england,0.20348092762254461,20
81belle,17622279,film,0.54556867815875931,1
Aliciastockley,25017835,film,0.54556867815875931,2
Cheri Brown,17329824,film,0.45879460828904145,3
Teranteran,16609669,film,0.40094522837589619,4
Azura81,24295647,film,0.39388608644880307,5
F&ME01,5892443,film,0.39176597621997311,6
Smellcheck,24286561,film,0.37406034907800556,7
Anjoepaul,22838374,film,0.37246222970653309,8
FanofPopMusic,15636800,film,0.37047455446325411,9
Jlo Fan 1999,22610194,film,0.3702098994461504,10
Abhajaiprakash,15700009,film,0.36978584310342011,11
Akshay Kumar Wiki,22864088,film,0.36732097904937883,12
Jjavier1978,15677567,film,0.36673057247925911,13
Ganesh Subbu,25267276,film,0.36493995716949956,14
Anotha1,19622211,film,0.36330864298297527,15
Ramesh Naidu10,25321336,film,0.36259878684682595,16
Sherya ghosal,20493706,film,0.36246920505897245,17
Kirtap92,9606145,film,0.3624308463536195,18
Teodor Arad,17452713,film,0.36201779032789905,19
Wntrfields,19773399,film,0.36096671247214163,20
Drangmeistername,23550229,football,0.31354757382455434,1
Daamoy,23683077,football,0.27427604045210374,2
Meowmeow99,24064372,football,0.27393281134855363,3
Tomahawk1221,8082842,football,0.264249875931007,4
Queenwe,16417705,football,0.2605187316317189,5
Sparrowhawk8,12532488,football,0.25934382006604995,6
Ab27826,9753416,football,0.25321568287898449,7
Stealth t,17055713,football,0.25275629744418843,8
Gijimu,6483048,football,0.25251408171380574,9
Bagelboy96,22139151,football,0.252275911218588,10
JuilliardHustle,18199846,football,0.25155720987796137,11
Cpfan776,17203954,football,0.24921369129008369,12
UCinternational,4544901,football,0.24789347684443541,13
